"year","iso3c","country","pop","variant","var"
1969,"WLD","World",3620655275,"Lower 80 PI",2
1970,"WLD","World",3695390336,"Lower 80 PI",2
1971,"WLD","World",3770163092,"Lower 80 PI",2
1972,"WLD","World",3844800885,"Lower 80 PI",2
1973,"WLD","World",3920251504,"Lower 80 PI",2
1974,"WLD","World",3995517077,"Lower 80 PI",2
1975,"WLD","World",4069437231,"Lower 80 PI",2
1976,"WLD","World",4142505882,"Lower 80 PI",2
1977,"WLD","World",4215772490,"Lower 80 PI",2
1978,"WLD","World",4289657708,"Lower 80 PI",2
1979,"WLD","World",4365582871,"Lower 80 PI",2
1980,"WLD","World",4444007706,"Lower 80 PI",2
1981,"WLD","World",4524627658,"Lower 80 PI",2
1982,"WLD","World",4607984871,"Lower 80 PI",2
1983,"WLD","World",4691884238,"Lower 80 PI",2
1984,"WLD","World",4775836074,"Lower 80 PI",2
1985,"WLD","World",4861730613,"Lower 80 PI",2
1986,"WLD","World",4950063339,"Lower 80 PI",2
1987,"WLD","World",5040984495,"Lower 80 PI",2
1988,"WLD","World",5132293974,"Lower 80 PI",2
1989,"WLD","World",5223704308,"Lower 80 PI",2
1990,"WLD","World",5316175862,"Lower 80 PI",2
1991,"WLD","World",5406245867,"Lower 80 PI",2
1992,"WLD","World",5492686093,"Lower 80 PI",2
1993,"WLD","World",5577433523,"Lower 80 PI",2
1994,"WLD","World",5660727993,"Lower 80 PI",2
1995,"WLD","World",5743219454,"Lower 80 PI",2
1996,"WLD","World",5825145298,"Lower 80 PI",2
1997,"WLD","World",5906481261,"Lower 80 PI",2
1998,"WLD","World",5987312480,"Lower 80 PI",2
1999,"WLD","World",6067758458,"Lower 80 PI",2
2000,"WLD","World",6148898975,"Lower 80 PI",2
2001,"WLD","World",6230746982,"Lower 80 PI",2
2002,"WLD","World",6312407360,"Lower 80 PI",2
2003,"WLD","World",6393898365,"Lower 80 PI",2
2004,"WLD","World",6475751478,"Lower 80 PI",2
2005,"WLD","World",6558176119,"Lower 80 PI",2
2006,"WLD","World",6641416218,"Lower 80 PI",2
2007,"WLD","World",6725948544,"Lower 80 PI",2
2008,"WLD","World",6811597272,"Lower 80 PI",2
2009,"WLD","World",6898305908,"Lower 80 PI",2
2010,"WLD","World",6985603105,"Lower 80 PI",2
2011,"WLD","World",7073125425,"Lower 80 PI",2
2012,"WLD","World",7161697921,"Lower 80 PI",2
2013,"WLD","World",7250593370,"Lower 80 PI",2
2014,"WLD","World",7339013419,"Lower 80 PI",2
2015,"WLD","World",7426597537,"Lower 80 PI",2
2016,"WLD","World",7513474238,"Lower 80 PI",2
2017,"WLD","World",7599822404,"Lower 80 PI",2
2018,"WLD","World",7683789828,"Lower 80 PI",2
2019,"WLD","World",7764951032,"Lower 80 PI",2
2020,"WLD","World",7840952880,"Lower 80 PI",2
2021,"WLD","World",7909295151,"Lower 80 PI",2
1950,"WLD","World",2499322157,"Upper 95 PI",5
1951,"WLD","World",2543130380,"Upper 95 PI",5
1952,"WLD","World",2590270899,"Upper 95 PI",5
1953,"WLD","World",2640278797,"Upper 95 PI",5
1954,"WLD","World",2691979339,"Upper 95 PI",5
1955,"WLD","World",2746072141,"Upper 95 PI",5
1956,"WLD","World",2801002631,"Upper 95 PI",5
1957,"WLD","World",2857866857,"Upper 95 PI",5
1958,"WLD","World",2916108097,"Upper 95 PI",5
1959,"WLD","World",2970292188,"Upper 95 PI",5
1960,"WLD","World",3019233434,"Upper 95 PI",5
1961,"WLD","World",3068370609,"Upper 95 PI",5
1962,"WLD","World",3126686743,"Upper 95 PI",5
1963,"WLD","World",3195779247,"Upper 95 PI",5
1964,"WLD","World",3267212338,"Upper 95 PI",5
1965,"WLD","World",3337111983,"Upper 95 PI",5
1966,"WLD","World",3406417036,"Upper 95 PI",5
1967,"WLD","World",3475448166,"Upper 95 PI",5
1968,"WLD","World",3546810808,"Upper 95 PI",5
1969,"WLD","World",3620655275,"Upper 95 PI",5
1970,"WLD","World",3695390336,"Upper 95 PI",5
1971,"WLD","World",3770163092,"Upper 95 PI",5
1972,"WLD","World",3844800885,"Upper 95 PI",5
1973,"WLD","World",3920251504,"Upper 95 PI",5
1974,"WLD","World",3995517077,"Upper 95 PI",5
1975,"WLD","World",4069437231,"Upper 95 PI",5
1976,"WLD","World",4142505882,"Upper 95 PI",5
1977,"WLD","World",4215772490,"Upper 95 PI",5
1978,"WLD","World",4289657708,"Upper 95 PI",5
1979,"WLD","World",4365582871,"Upper 95 PI",5
1980,"WLD","World",4444007706,"Upper 95 PI",5
1981,"WLD","World",4524627658,"Upper 95 PI",5
1982,"WLD","World",4607984871,"Upper 95 PI",5
1983,"WLD","World",4691884238,"Upper 95 PI",5
1984,"WLD","World",4775836074,"Upper 95 PI",5
1985,"WLD","World",4861730613,"Upper 95 PI",5
1986,"WLD","World",4950063339,"Upper 95 PI",5
1987,"WLD","World",5040984495,"Upper 95 PI",5
1988,"WLD","World",5132293974,"Upper 95 PI",5
1989,"WLD","World",5223704308,"Upper 95 PI",5
1990,"WLD","World",5316175862,"Upper 95 PI",5
1991,"WLD","World",5406245867,"Upper 95 PI",5
1992,"WLD","World",5492686093,"Upper 95 PI",5
1993,"WLD","World",5577433523,"Upper 95 PI",5
1994,"WLD","World",5660727993,"Upper 95 PI",5
1995,"WLD","World",5743219454,"Upper 95 PI",5
1996,"WLD","World",5825145298,"Upper 95 PI",5
1997,"WLD","World",5906481261,"Upper 95 PI",5
1998,"WLD","World",5987312480,"Upper 95 PI",5
1999,"WLD","World",6067758458,"Upper 95 PI",5
2000,"WLD","World",6148898975,"Upper 95 PI",5
2001,"WLD","World",6230746982,"Upper 95 PI",5
2002,"WLD","World",6312407360,"Upper 95 PI",5
2003,"WLD","World",6393898365,"Upper 95 PI",5
2004,"WLD","World",6475751478,"Upper 95 PI",5
2005,"WLD","World",6558176119,"Upper 95 PI",5
2006,"WLD","World",6641416218,"Upper 95 PI",5
2007,"WLD","World",6725948544,"Upper 95 PI",5
2008,"WLD","World",6811597272,"Upper 95 PI",5
2009,"WLD","World",6898305908,"Upper 95 PI",5
2010,"WLD","World",6985603105,"Upper 95 PI",5
2011,"WLD","World",7073125425,"Upper 95 PI",5
2012,"WLD","World",7161697921,"Upper 95 PI",5
2013,"WLD","World",7250593370,"Upper 95 PI",5
2014,"WLD","World",7339013419,"Upper 95 PI",5
2015,"WLD","World",7426597537,"Upper 95 PI",5
2016,"WLD","World",7513474238,"Upper 95 PI",5
2017,"WLD","World",7599822404,"Upper 95 PI",5
2018,"WLD","World",7683789828,"Upper 95 PI",5
2019,"WLD","World",7764951032,"Upper 95 PI",5
2020,"WLD","World",7840952880,"Upper 95 PI",5
2021,"WLD","World",7909295151,"Upper 95 PI",5
1950,"WLD","World",2499322157,"Lower 95 PI",1
1951,"WLD","World",2543130380,"Lower 95 PI",1
1952,"WLD","World",2590270899,"Lower 95 PI",1
1953,"WLD","World",2640278797,"Lower 95 PI",1
1954,"WLD","World",2691979339,"Lower 95 PI",1
1955,"WLD","World",2746072141,"Lower 95 PI",1
1956,"WLD","World",2801002631,"Lower 95 PI",1
1957,"WLD","World",2857866857,"Lower 95 PI",1
1958,"WLD","World",2916108097,"Lower 95 PI",1
1959,"WLD","World",2970292188,"Lower 95 PI",1
1960,"WLD","World",3019233434,"Lower 95 PI",1
1961,"WLD","World",3068370609,"Lower 95 PI",1
1962,"WLD","World",3126686743,"Lower 95 PI",1
1963,"WLD","World",3195779247,"Lower 95 PI",1
1964,"WLD","World",3267212338,"Lower 95 PI",1
1965,"WLD","World",3337111983,"Lower 95 PI",1
1966,"WLD","World",3406417036,"Lower 95 PI",1
1967,"WLD","World",3475448166,"Lower 95 PI",1
1968,"WLD","World",3546810808,"Lower 95 PI",1
1969,"WLD","World",3620655275,"Lower 95 PI",1
1970,"WLD","World",3695390336,"Lower 95 PI",1
1971,"WLD","World",3770163092,"Lower 95 PI",1
1972,"WLD","World",3844800885,"Lower 95 PI",1
1973,"WLD","World",3920251504,"Lower 95 PI",1
1974,"WLD","World",3995517077,"Lower 95 PI",1
1975,"WLD","World",4069437231,"Lower 95 PI",1
1976,"WLD","World",4142505882,"Lower 95 PI",1
1977,"WLD","World",4215772490,"Lower 95 PI",1
1978,"WLD","World",4289657708,"Lower 95 PI",1
1979,"WLD","World",4365582871,"Lower 95 PI",1
1980,"WLD","World",4444007706,"Lower 95 PI",1
1981,"WLD","World",4524627658,"Lower 95 PI",1
1982,"WLD","World",4607984871,"Lower 95 PI",1
1983,"WLD","World",4691884238,"Lower 95 PI",1
1984,"WLD","World",4775836074,"Lower 95 PI",1
1985,"WLD","World",4861730613,"Lower 95 PI",1
1986,"WLD","World",4950063339,"Lower 95 PI",1
1987,"WLD","World",5040984495,"Lower 95 PI",1
1988,"WLD","World",5132293974,"Lower 95 PI",1
1989,"WLD","World",5223704308,"Lower 95 PI",1
1990,"WLD","World",5316175862,"Lower 95 PI",1
1991,"WLD","World",5406245867,"Lower 95 PI",1
1992,"WLD","World",5492686093,"Lower 95 PI",1
1993,"WLD","World",5577433523,"Lower 95 PI",1
1994,"WLD","World",5660727993,"Lower 95 PI",1
1995,"WLD","World",5743219454,"Lower 95 PI",1
1996,"WLD","World",5825145298,"Lower 95 PI",1
1997,"WLD","World",5906481261,"Lower 95 PI",1
1998,"WLD","World",5987312480,"Lower 95 PI",1
1999,"WLD","World",6067758458,"Lower 95 PI",1
2000,"WLD","World",6148898975,"Lower 95 PI",1
2001,"WLD","World",6230746982,"Lower 95 PI",1
2002,"WLD","World",6312407360,"Lower 95 PI",1
2003,"WLD","World",6393898365,"Lower 95 PI",1
2004,"WLD","World",6475751478,"Lower 95 PI",1
2005,"WLD","World",6558176119,"Lower 95 PI",1
2006,"WLD","World",6641416218,"Lower 95 PI",1
2007,"WLD","World",6725948544,"Lower 95 PI",1
2008,"WLD","World",6811597272,"Lower 95 PI",1
2009,"WLD","World",6898305908,"Lower 95 PI",1
2010,"WLD","World",6985603105,"Lower 95 PI",1
2011,"WLD","World",7073125425,"Lower 95 PI",1
2012,"WLD","World",7161697921,"Lower 95 PI",1
2013,"WLD","World",7250593370,"Lower 95 PI",1
2014,"WLD","World",7339013419,"Lower 95 PI",1
2015,"WLD","World",7426597537,"Lower 95 PI",1
2016,"WLD","World",7513474238,"Lower 95 PI",1
2017,"WLD","World",7599822404,"Lower 95 PI",1
2018,"WLD","World",7683789828,"Lower 95 PI",1
2019,"WLD","World",7764951032,"Lower 95 PI",1
2020,"WLD","World",7840952880,"Lower 95 PI",1
2021,"WLD","World",7909295151,"Lower 95 PI",1
